member_name,video_id,video_title,analyzed
이수진,XnhUQ7k7QWU,[휴먼다큐 자식이 좋다] EP.03 &#39;엄마라는 이름으로&#39; Jamie맘 이소담 씨의 특별한 생일파티 오디션 (20250520 방송) #이수지 #핫이슈지 #자식이좋다,True
이양수,COm8rTgEqtA,이양수 &quot;가처분 인용되면 김문수 후보로 가는 것&quot; / #채널A #shorts #DLAB,True
이언주,HyVxqorJgv0,진주 민심 향방은? 민주당 이언주 엄청난 인기,True
이연희,Kz8dTKetthg,이연희 좋은사람 | 김정은의 초콜릿 | SBS ENTER.,True
이용선,,이용선TV,False
이용우,,일산 이용우TV,False
이원택,91EsAoNlX4s,이원택 의원 &quot;잼버리 외유성 출장 의혹 유감&quot;,True
이인선,,이인선,False
이인영,bljJ8Tu2s0k,팩트체크도 안 하고 막 지르다가 아차...이인영 &quot;눈 부라리고 주목하겠다&quot; #이인영 #박원순,True
이재강,,이재강TV,False
이재관,,이재관TV,False
이재명,,이재명,False
이재정,9ChM_cPa1mc,거제유세장 엄청난 인파에 이재정 환상의 댄스 ! #지금은이재명 #이재명,True
이정문,,이정문TV,False
이정헌,,이정헌TV,False
이종배,d6Zq-cH6OD4,퇴근송  #국민의힘 #이종배 #국회의원 #충주시,True
이종욱,Zg8puozELqY,"육상부 이종욱, 당신이 몰랐던 7가지 사실 [두산베어스, NC다이노스]",True
이주영,,개혁신당 국회의원 이주영,False
이준석,,이준석,False
이철규,5tntZrQ8vCs,우원식에 슬그머니 부탁한 이철규,True
이춘석,,이춘석TV,False
이학영,,이학영TV,False
이해민,,이해민TV,False
이해식,6esuiXJpGc8,59회차 주간이해식 유튜브라이브,True
이헌승,tIEKZwLxqeU,이헌승 &quot;조국 의혹 역대 해임된 장관보다 경미하다고 생각하나?&quot;,True
이훈기,xT2weq8HecI,&quot;대통령도 파면하는데.. 정신차리세요 제발&quot; 결국 위약금 면제 약속 받아낸 이훈기,True
인요한,dgdL_QpXxo4,"[🥊류병수의 강펀치] 인요한 &quot;지금의 민주당, 김대중 사상 싹 다 버렸다&quot;#shorts",True
임광현,,임광현TV,False
임미애,,임미애TV,False
임오경,,임오경tv,False
임이자,,임이자TV,False
임종득,I3R_7V4UVD8,군 장성 후배들 인신공격 하는 김병주 혼쭐내는 임종득 의원 #임종득 #정치 #국민의힘 #보수 #국회 #장군,True
임호선,,임호선TV,False
장경태,,장경태TV,False
장동혁,zghUvYQsVhg,"장동혁, 주말 현안관련 긴급 기자회견 1분 요약 [대선현장] / 채널A",True
장종태,8YRxoyVBaPM,민주 대전 &#39;허태정 vs 장종태&#39; 날 선 공방/대전MBC,True
장철민,,장철민TV,False
전용기,,전용기TV,False
전재수,PMK9gbqykxM,"[김종배의 시선집중][FULL][세계눈우리눈] 전재수 - 민주당 ‘험지’ TK30% - PK40% 대 목표ㅣ이정현-‘보수 험지’ 호남에 공들이는 국민의힘, MBC 250602 방송",True
전종덕,,전종덕TV,False
전진숙,lYl10ybs8-4,내란종식 빵 한입! 1번 이재명 3표! #123캠페인 #지금은이재명 #진짜대한민국 #더불어민주당 #전진숙,True
전현희,,전현희TV,False
정동만,,대찬 정동만,False
정동영,UBkMAvPmzC8,청문회장? 대학 강의실?...앵커 선배 정동영의 숨 막히는 ‘뉴스’ 교육,True
정성국,,정성국TV,False
정성호,__m3dJGrM9E,정성호 장모님께서 새벽 4시에 돌아다니시는 이유 [뚜루깔깔] #라스 #shorts,True
정연욱,znBE84aQcP0,2022. 5. 17.천하의 정연욱이 혀가 왜 이렇게 길어~/시즌4 14화 꽁다리영상,True
정을호,YdrArHNSFTI,당직자 18년 경력직 짬바 정을호 의원이 말하는 민주당 당대표들 특징은? | 국집소 | 국회방송,True
정일영,3aNtTUHJeDY,프랑스어 강사 정일영 &#39;프랑스에서 살아남기&#39; 특강,True
정점식,puTOzv-J_1s,정점식 &quot;전혀 안 궁금해할걸&quot;‥&quot;지역민 모욕&quot; 비판 봇물 (2024.12.19/뉴스투데이/MBC),True
정준호,S8H4ghCA4QI,[ENG SUB]정준호 신현준 {짠한형} EP. 75 연예계 브로맨스 신현준x정준호의 폭주기관차급🚆 폭로. 역대급 폭로와 웃음벨 가득한 오늘! 👂에 피날준비 배꼽빠질 준비 OK?😂,True
정진욱,xKFdf_CTzVM,셰프가 된 푸른거탑 정진욱 이병?? 이름 특이한 후임들 때문에 극대노 함😡 | 코미디빅리그,True
정청래,7dMs_zuMReg,"[현장] &#39;아니, 유세를 하랬더니...&#39;... &#39;썬구리&#39; 끼고 뒤집어버린 정청래",True
정춘생,,정춘생TV,False
정태호,ZSN2hbk8NKc,[풀버전] 12년만의 부활! 어린이날을 위해 준비한 특별코너! &#39;감사합니다🎵&#39; [개그콘서트/Gag Concert] | KBS 240505 방송,True
정혜경,miIN-30w8Pw,초선의원이 준비해온 이 피켓 본 국힘 의원의 반응이... #정혜경 #진보당,True
정희용,glaW7DWPfQg,"[정희용 국회의원]  민주당 출신 우원식 국회의장의 반의회적! 반민주적! 필리버스터 강제종결에 강력 항의했습니다 - 정희용 경상북도 고령군, 성주군, 칠곡군 국회의원",True
조경태,Xf6C6EXZhvs,파이팅 넘치는 조경태 의원의 김문수 후보 유세활동🔥 #국민의힘 #김문수후보 #김문수 #대선 #조경태 #조경태국회의원,True
조계원,DkjDpHce1-g,[조계원TV] 민주주의 수호 이재명 VS  내란 2탄 김문수 (2025.06.02.),True
조배숙,9ZzJykInwbo,기자들 추궁에 조배숙 &#39;진땀&#39; 부정선거 있다? 없다? / #채널A #shorts #DLAB,True
조승래,,조승래TV,False
조승환,,조승환TV,False
조은희,,조은희TV,False
조인철,,조인철,False
조정식,FwSqemOKHxE,"조정식쌤, be 동사 아세요? #티처스 #퀴즈쇼 #썸머티처스쿨",True
조정훈,pkwqSsRwCO0,댓글공작팀과 &#39;가짜 기자회견&#39; 기획한 국민의힘 - 뉴스타파,True
조지연,,조지연,False
주진우,58_f0xWhCYM,"주진우 &quot;이재명과 장남, 증여세 포탈 혐의로 형사고발키로&quot; [티조Clip]",True
주철현,,주철현TV,False
주호영,LtD3S3-hmRw,주호영 “문수를 잘 알아야”… 김문수 감싸기,True
진선미,,진선미TV,False
진성준,,진성준 TV,False
진종오,t5KWLmW6mMA,진종오가 이뤄낸  &#39;사격 경기 사상 가장 극적인 승부&#39;,True
차규근,,차규근TV,False
차지호,S8DFEzhhhFA,외교부 &#39;방어적 태도&#39;에 차지호 &quot;반대로 한번 묻겠다...한국은 미국을 &#39;사소한 문제&#39;로 민감국가 지정 가능?&quot;,True
채현일,g3lN7QTBCjk,아니 다 없어요 그냥 (feat. 박주민·채현일 의원),True
천준호,,천준호TV,False
천하람,cNY4YyDXxkA,"천하람 &quot;김문수에 투표, 썩은 나무에 물주기&quot;    &quot;리박스쿨, DDD리스트... 이준석만 자유롭다&quot;",True
최기상,n_kHr5fpV0M,명언제조기 #최기상 의원의 국감을 마치며,True
최민희,SoNmaLCmcQM,최민희 의원이 말하는 이준석과 윤석열의 공통점! #최민희 #윤석열 #대선,True
최보윤,IhvJ4eagHc8,성악 전공자가 부른 김광석 &quot;서른 즈음에&quot; Cover by 최보윤 #In one&#39;s thirties,True
최수진,,최수진TV,False
최은석,MUjyltZo_nQ,20살에 프로가 된 격투기 천재 최은석,True
최형두,,형두캔두 최형두,False
추경호,,추경호TV,False
